NPROC,L,Time [ms]
1,192,0.104243
1,192,0.103494
1,192,0.103636
1,192,0.106788
1,192,0.102655
1,192,0.104677
1,768,1.260895
1,768,1.263568
1,768,1.257978
1,768,1.271253
1,768,1.265330
1,768,1.270869
1,1536,5.406727
1,1536,5.427315
1,1536,5.407232
1,1536,5.420528
1,1536,5.412516
1,1536,5.406660
1,3072,22.506869
1,3072,22.541900
1,3072,22.527247
1,3072,22.479770
1,3072,22.548186
1,3072,22.575939
2,192,0.061285
2,192,0.060567
2,192,0.060233
2,192,0.060417
2,192,0.060270
2,192,0.058101
2,768,0.706265
2,768,0.692863
2,768,0.698341
2,768,0.693797
2,768,0.705925
2,768,0.695680
2,1536,2.693321
2,1536,2.753848
2,1536,2.756307
2,1536,2.760720
2,1536,2.741402
2,1536,2.745879
2,3072,12.330787
2,3072,12.326210
2,3072,12.345379
2,3072,12.403028
2,3072,12.337487
2,3072,12.064722
4,192,0.043343
4,192,0.041550
4,192,0.041937
4,192,0.039472
4,192,0.040218
4,192,0.042086
4,768,0.389544
4,768,0.400338
4,768,0.401058
4,768,0.387866
4,768,0.394938
4,768,0.395391
4,1536,1.440479
4,1536,1.430361
4,1536,1.456801
4,1536,1.425273
4,1536,1.415713
4,1536,1.394499
4,3072,6.702592
4,3072,6.688661
4,3072,6.570937
4,3072,6.734147
4,3072,6.709536
4,3072,6.549453
8,192,0.029431
8,192,0.030141
8,192,0.030121
8,192,0.030111
8,192,0.030678
8,192,0.029838
8,768,0.235984
8,768,0.234809
8,768,0.243732
8,768,0.234863
8,768,0.237198
8,768,0.235365
8,1536,0.911217
8,1536,0.908519
8,1536,0.911175
8,1536,0.913678
8,1536,0.898181
8,1536,0.920020
8,3072,4.236147
8,3072,4.275237
8,3072,4.251664
8,3072,4.253537
8,3072,4.260269
8,3072,4.291416
16,192,0.023297
16,192,0.022957
16,192,0.022642
16,192,0.023307
16,192,0.022333
16,192,0.022114
16,768,0.133336
16,768,0.131437
16,768,0.137221
16,768,0.131386
16,768,0.133469
16,768,0.136623
16,1536,0.461278
16,1536,0.464380
16,1536,0.457812
16,1536,0.462859
16,1536,0.457636
16,1536,0.456145
16,3072,3.508957
16,3072,3.505285
16,3072,3.545592
16,3072,3.481690
16,3072,3.510753
16,3072,3.514577
32,192,0.021553
32,192,0.021755
32,192,0.021394
32,192,0.021446
32,192,0.021554
32,192,0.021865
32,768,0.077554
32,768,0.077306
32,768,0.077934
32,768,0.077754
32,768,0.077758
32,768,0.077738
32,1536,0.249698
32,1536,0.249790
32,1536,0.249602
32,1536,0.250150
32,1536,0.248879
32,1536,0.250150
32,3072,0.943214
32,3072,0.942311
32,3072,0.944493
32,3072,0.938793
32,3072,0.952217
32,3072,0.936097
48,192,0.041096
48,192,0.040778
48,192,0.041053
48,192,0.041149
48,192,0.041300
48,192,0.040613
48,768,0.079865
48,768,0.079566
48,768,0.083458
48,768,0.083076
48,768,0.079758
48,768,0.080465
48,1536,0.204450
48,1536,0.204490
48,1536,0.203818
48,1536,0.208909
48,1536,0.208232
48,1536,0.203058
48,3072,0.631248
48,3072,0.634074
48,3072,0.628631
48,3072,0.629638
48,3072,0.633907
48,3072,0.633682
64,192,0.039760
64,192,0.040013
64,192,0.039907
64,192,0.039995
64,192,0.039986
64,192,0.039978
64,768,0.069739
64,768,0.070187
64,768,0.070136
64,768,0.073971
64,768,0.069906
64,768,0.073253
64,1536,0.163229
64,1536,0.163368
64,1536,0.163923
64,1536,0.168529
64,1536,0.163659
64,1536,0.166267
64,3072,0.482016
64,3072,0.479847
64,3072,0.477481
64,3072,0.479421
64,3072,0.480199
64,3072,0.480179
96,192,0.056419
96,192,0.042882
96,192,0.042970
96,192,0.042695
96,192,0.042710
96,192,0.042972
96,768,0.063125
96,768,0.062821
96,768,0.062974
96,768,0.062801
96,768,0.063003
96,768,0.066299
96,1536,0.124219
96,1536,0.129793
96,1536,0.124803
96,1536,0.124554
96,1536,0.124402
96,1536,0.124114
96,3072,0.343398
96,3072,0.343159
96,3072,0.341384
96,3072,0.342349
96,3072,0.345037
96,3072,0.342967


NPROC,L,Time [ms]
5,192,0.033462
5,192,0.034248
5,192,0.034882
5,192,0.035662
5,192,0.034926
5,192,0.033552
5,768,0.309409
5,768,0.298883
5,768,0.317908
5,768,0.316846
5,768,0.307778
5,768,0.312115
5,1536,1.202920
5,1536,1.193291
5,1536,1.201871
5,1536,1.187687
5,1536,1.181626
5,1536,1.192292
5,3072,5.782231
5,3072,5.847615
5,3072,5.748857
5,3072,5.810533
5,3072,5.731811
5,3072,5.719275
7,192,0.028432
7,192,0.027970
7,192,0.029425
7,192,0.029264
7,192,0.029539
7,192,0.029899
7,768,0.244535
7,768,0.242806
7,768,0.243578
7,768,0.241252
7,768,0.240843
7,768,0.238722
7,1536,0.937714
7,1536,0.929361
7,1536,0.937802
7,1536,0.936749
7,1536,0.939656
7,1536,0.936335
7,3072,4.751142
7,3072,4.719679
7,3072,4.686977
7,3072,4.693648
7,3072,4.705818
7,3072,4.678247
10,192,0.027749
10,192,0.026677
10,192,0.026734
10,192,0.027062
10,192,0.026143
10,192,0.027539
10,768,0.193911
10,768,0.190066
10,768,0.195506
10,768,0.189416
10,768,0.191168
10,768,0.189941
10,1536,0.692005
10,1536,0.693803
10,1536,0.691147
10,1536,0.692664
10,1536,0.703290
10,1536,0.691239
10,3072,3.813012
10,3072,3.909744
10,3072,3.953444
10,3072,3.822041
10,3072,3.910666
10,3072,3.857277
13,192,0.022507
13,192,0.022442
13,192,0.022725
13,192,0.021769
13,192,0.022511
13,192,0.023264
13,768,0.142728
13,768,0.142385
13,768,0.142032
13,768,0.145139
13,768,0.142602
13,768,0.142007
13,1536,0.517762
13,1536,0.534356
13,1536,0.537670
13,1536,0.535583
13,1536,0.534341
13,1536,0.534153
13,3072,3.553545
13,3072,3.571525
13,3072,3.575176
13,3072,3.575118
13,3072,3.530134
13,3072,3.645122
15,192,0.022486
15,192,0.023204
15,192,0.023299
15,192,0.023160
15,192,0.023737
15,192,0.023953
15,768,0.137903
15,768,0.139265
15,768,0.135773
15,768,0.135613
15,768,0.136686
15,768,0.137364
15,1536,0.491665
15,1536,0.482943
15,1536,0.480776
15,1536,0.483133
15,1536,0.491683
15,1536,0.480705
15,3072,3.486073
