NPROC,L,Time [ms]
1,192,0.105512
1,192,0.103980
1,192,0.102926
1,192,0.103020
1,384,0.407893
1,384,0.410080
1,384,0.411387
1,384,0.410070
1,768,1.273914
1,768,1.275484
1,768,1.272856
1,768,1.275926
1,1536,5.265258
1,1536,5.163927
1,1536,5.154950
1,1536,5.183018
2,192,0.056812
2,192,0.056894
2,192,0.055302
2,192,0.057714
2,384,0.221919
2,384,0.220031
2,384,0.222275
2,384,0.217273
2,768,0.677934
2,768,0.682254
2,768,0.677885
2,768,0.682143
2,1536,2.699082
2,1536,2.710830
2,1536,2.720502
2,1536,2.726760
4,192,0.039874
4,192,0.040650
4,192,0.040222
4,192,0.040367
4,384,0.137046
4,384,0.129549
4,384,0.136828
4,384,0.138059
4,768,0.381284
4,768,0.385189
4,768,0.389098
4,768,0.388613
4,1536,1.399594
4,1536,1.415120
4,1536,1.425268
4,1536,1.431999
8,192,0.028881
8,192,0.028469
8,192,0.028733
8,192,0.028407
8,384,0.080134
8,384,0.080080
8,384,0.080868
8,384,0.079896
8,768,0.234688
8,768,0.236826
8,768,0.233350
8,768,0.235755
8,1536,0.910179
8,1536,0.911562
8,1536,0.914684
8,1536,0.879274
16,192,0.021907
16,192,0.021579
16,192,0.021799
16,192,0.021544
16,384,0.050835
16,384,0.050870
16,384,0.050556
16,384,0.050768
16,768,0.130999
16,768,0.133386
16,768,0.133211
16,768,0.133083
16,1536,0.451484
16,1536,0.465453
16,1536,0.461302
16,1536,0.461296
32,192,0.021406
32,192,0.021251
32,192,0.021455
32,192,0.021536
32,384,0.036900
32,384,0.036406
32,384,0.036608
32,384,0.037026
32,768,0.077207
32,768,0.077132
32,768,0.077438
32,768,0.076474
32,1536,0.246958
32,1536,0.246084
32,1536,0.250328
32,1536,0.246166
