NPROC,L,Time [ms]
1,192,0.099465
1,192,0.098279
1,192,0.099515
1,192,0.097703
1,384,0.363891
1,384,0.363903
1,384,0.365141
1,384,0.365924
1,768,1.398244
1,768,1.400479
1,768,1.401838
1,768,1.400329
1,1536,5.918477
1,1536,5.924514
1,1536,5.934534
1,1536,5.955576
2,192,0.057087
2,192,0.056380
2,192,0.056561
2,192,0.056394
2,384,0.200656
2,384,0.203809
2,384,0.200955
2,384,0.201461
2,768,0.797063
2,768,0.793660
2,768,0.793783
2,768,0.801386
2,1536,3.111516
2,1536,3.116046
2,1536,3.123279
2,1536,3.124876
4,192,0.037388
4,192,0.037614
4,192,0.037855
4,192,0.037337
4,384,0.122580
4,384,0.122496
4,384,0.125243
4,384,0.123642
4,768,0.427220
4,768,0.434884
4,768,0.428142
4,768,0.423065
4,1536,1.620651
4,1536,1.627655
4,1536,1.617172
4,1536,1.624048
8,192,0.026475
8,192,0.026182
8,192,0.026964
8,192,0.026284
8,384,0.071198
8,384,0.071884
8,384,0.071944
8,384,0.071308
8,768,0.246209
8,768,0.246940
8,768,0.246949
8,768,0.247327
8,1536,0.968772
8,1536,0.975597
8,1536,0.974413
8,1536,0.973086
16,192,0.020647
16,192,0.020489
16,192,0.020300
16,192,0.020232
16,384,0.045134
16,384,0.044634
16,384,0.057960
16,384,0.046314
16,768,0.137089
16,768,0.136418
16,768,0.137264
16,768,0.135568
16,1536,0.484111
16,1536,0.482890
16,1536,0.487067
16,1536,0.480530
32,192,0.020656
32,192,0.022846
32,192,0.020546
32,192,0.021153
32,384,0.033302
32,384,0.033213
32,384,0.032877
32,384,0.033301
32,768,0.076708
32,768,0.077433
32,768,0.076851
32,768,0.079135
32,1536,0.254935
32,1536,0.253005
32,1536,0.260731
32,1536,0.252904
