NPROC,L,Time [ms]
1,192,0.103834
1,192,0.103177
1,192,0.103505
1,192,0.103883
1,384,0.413248
1,384,0.410614
1,384,0.406190
1,384,0.405342
1,768,1.274853
1,768,1.272821
1,768,1.271308
1,768,1.278819
1,1536,5.443958
1,1536,5.416959
1,1536,5.160379
1,1536,5.159577
2,192,0.055925
2,192,0.056286
2,192,0.057588
2,192,0.058179
2,384,0.224672
2,384,0.216969
2,384,0.211560
2,384,0.212311
2,768,0.676927
2,768,0.680666
2,768,0.678129
2,768,0.679435
2,1536,2.704172
2,1536,2.711523
2,1536,2.705044
2,1536,2.692104
4,192,0.040974
4,192,0.040268
4,192,0.039729
4,192,0.040759
4,384,0.135163
4,384,0.134135
4,384,0.138581
4,384,0.137677
4,768,0.383211
4,768,0.385926
4,768,0.391914
4,768,0.379156
4,1536,1.428024
4,1536,1.408050
4,1536,1.434158
4,1536,1.399157
8,192,0.029500
8,192,0.029101
8,192,0.029083
8,192,0.028931
8,384,0.081254
8,384,0.080719
8,384,0.081302
8,384,0.081522
8,768,0.237673
8,768,0.241430
8,768,0.236336
8,768,0.240994
8,1536,0.915651
8,1536,0.926540
8,1536,0.917098
8,1536,0.915160
16,192,0.022034
16,192,0.021980
16,192,0.022134
16,192,0.022187
16,384,0.060303
16,384,0.051572
16,384,0.051729
16,384,0.052822
16,768,0.131644
16,768,0.133484
16,768,0.133765
16,768,0.133771
16,1536,0.466122
16,1536,0.466148
16,1536,0.462118
16,1536,0.465528
32,192,0.022193
32,192,0.022077
32,192,0.022276
32,192,0.022254
32,384,0.038277
32,384,0.038678
32,384,0.038786
32,384,0.039204
32,768,0.077222
32,768,0.078012
32,768,0.077187
32,768,0.077069
32,1536,0.252613
32,1536,0.250619
32,1536,0.250530
32,1536,0.251556
