NPROC,L,Time [ms]
1,96,0.034047
1,96,0.036903
1,96,0.034888
1,96,0.034031
1,96,0.036638
1,96,0.036723
4,192,0.040895
4,192,0.042064
4,192,0.040142
4,192,0.040258
4,192,0.043162
4,192,0.042598
9,288,0.046284
9,288,0.046434
9,288,0.046274
9,288,0.047627
9,288,0.047040
9,288,0.046927
16,384,0.051487
16,384,0.052354
16,384,0.051297
16,384,0.052985
16,384,0.050855
16,384,0.052443
25,480,0.050853
25,480,0.050942
25,480,0.050977
25,480,0.050808
25,480,0.050780
25,480,0.051187
36,576,0.050500
36,576,0.049232
36,576,0.049609
36,576,0.051019
36,576,0.049282
36,576,0.049432
49,672,0.082453
49,672,0.083326
49,672,0.082100
49,672,0.082692
49,672,0.082809
49,672,0.082976
64,768,0.072296
64,768,0.069879
64,768,0.070394
64,768,0.070376
64,768,0.070558
64,768,0.070065
81,864,0.077967
81,864,0.074182
81,864,0.074216
81,864,0.075370
81,864,0.074087
81,864,0.074162
100,960,0.090423
100,960,0.090707
100,960,0.104662
100,960,0.090710
100,960,0.090730
100,960,0.090383
121,1056,0.087592
121,1056,0.091494
121,1056,0.088362
121,1056,0.088455
121,1056,0.087338
121,1056,0.091534
144,1152,0.075788
144,1152,0.075717
144,1152,0.075607
144,1152,0.076029
144,1152,0.076056
144,1152,0.075789
